"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Permission-Selective_Trust_Model_v3.1_paper.nlogo"
"H3-host-vis-ceiling"
"07/12/2026 20:57:40:811 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","NUM-STRANGERS","REAPPRAISAL-VISIBILITY","REAPPRAISAL-CREDIBILITY","DEVIATION-REWARD","SATURATION-THRESHOLD","[step]","host-dev-vis-max","host-dev-vis-mean","host-dev-cred-min"
"1","0","0.9","0.003","0.01","0.3","2500","0.9999999646989299","0.7444353836926839","0.00179890596599221"
"4","0","0.9","0.003","0.01","0.3","2500","0.9999999723286567","0.7765072112321674","0.004347058924399232"
"2","0","0.9","0.003","0.01","0.3","2500","0.9999999879808367","0.7736657389010684","0.0040033837978635245"
"3","0","0.9","0.003","0.01","0.3","2500","0.9999997604701005","0.7793742562173895","0.003836181094528769"
"8","0","0.9","0.003","0.01","0.3","2500","0.9999998140967474","0.7284938060091664","0.003418831675675516"
"5","0","0.9","0.003","0.01","0.3","2500","0.9999998574884911","0.7469190130251274","0.0040393225641652255"
"7","0","0.9","0.003","0.01","0.3","2500","0.9999998410167732","0.7408983271801141","0.0032125603734418184"
"6","0","0.9","0.003","0.01","0.3","2500","0.9999999704624571","0.7597304997766233","0.0033065758259008793"
"11","0","0.9","0.003","0.01","0.3","2500","0.9999988821932974","0.7210716642457254","0.005216527063460545"
"9","0","0.9","0.003","0.01","0.3","2500","0.9999999305717403","0.7671306273306743","0.004116181827889141"
"12","0","0.9","0.003","0.01","0.3","2500","0.9999999729663789","0.7225553781088221","0.0036947776658404984"
"10","0","0.9","0.003","0.01","0.3","2500","0.9999999340583892","0.7262228701317542","0.004618545760620611"
"13","0","0.9","0.003","0.01","0.3","2500","0.9999999021430969","0.7456079254596826","0.0037198524363980675"
"14","0","0.9","0.003","0.01","0.3","2500","0.9999998725127567","0.721292165436331","0.0034254977931238084"
"15","0","0.9","0.003","0.01","0.3","2500","0.9999995552547563","0.7189947487763446","0.0052862908459401"
"16","0","0.9","0.003","0.01","0.3","2500","0.9999998832634214","0.7350322769315446","0.004983304807112818"
"19","0","0.9","0.003","0.01","0.3","2500","0.9999998243178482","0.7084725325943911","0.0031592368786641923"
"18","0","0.9","0.003","0.01","0.3","2500","0.9999999913543123","0.7570509413257738","0.00462468111981326"
"17","0","0.9","0.003","0.01","0.3","2500","0.999999938080491","0.7708065168795711","0.0033221208152476654"
"20","0","0.9","0.003","0.01","0.3","2500","0.9999999465406408","0.7658195819166389","0.0029957324148954696"
